ServiceName,ParentService,Code,ShowInSnow,EstimatesOnly,TrackChemicals,SalesTaxCode,ServiceMode,InvoiceDescription,Active,DefaultRate,MinimumAmount,MinimumAmountMessage,DefaultBudgetedHours,DefaultCommission,PayOnBudgetedHours,InvoiceTimeFormat,Class,Account,EstimateDescription,CallScriptNotes,NumberOfVisits,RatePer,TargetPerHour,TargetPerHourWithDrive,AverageServiceYears,MatrixCalculation,MatrixCustomField,ChemicalProducts
Drainage II,,Drainage I,False,False,False,,PerUnit,installation of drain pipe  - hand installed,True,4.00,0.00,,0.00,None,False,None,,Sales,Drainage Hand Installed installation of drain pipe - hand installed,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Fungicide App 1,,Fungi 1,False,False,True,,PerUnit,Fungicide Application 1,True,45.00,0.00,,0.00,None,False,None,,Sales,Fungicide Application 1May fungicide application,,0,NotSet,0.00,0.00,0.00,Qty X Rate X Visits,Turf 1000 Sq Ft,Fungicide Lawn Treatment 1 & 3
Mulch Blower Contractor 10-14,,Cont 10-14,False,False,False,Non,PerUnit,Blower Installed Mulch,True,60.00,0.00,,0.00,None,False,None,,Sales,"Blower Installed Mulch-Blower Installed Mulching-Deliver and install double-shredded, color-enhanced, hardwood mulch",,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Leaf & Vac Holiday,,Leaf & Vac Holiday,False,False,False,Non,Hourly,Leaf and Vacuum Service,True,285.00,0.00,,0.00,None,False,None,,Sales,Leaf and Vacuum ServiceClean and vacuum leaves 3 times1 cleanup before Thanksgiving1 cleanup before Christmas1 cleanup after New Years* Leaves within any natural areas to remain unless specified to be cleane,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Mushroom Compost,,Mushroom C,False,False,False,,PerUnit,Mushroom Compost - Labor Included,True,75.00,0.00,,0.00,None,False,None,,Sales,Organic Compost InstallOrganic Compost - Labor IncludedIncreases organic matter in your soil.Makes clay soils more airy and helps them drain better.Helps sandy soils retain water.Helps balance,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Bag Grass Clippings,,Bag Grass,False,False,False,Non,PerUnit,Bag and Remove of Grass Clipping,True,65.00,0.00,,1.00,None,False,None,,Sales,Bag Grass ClippingsBag and Remove of Grass Clipping,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Landscape Design,,Landscape,False,False,False,,PerUnit,landscape design,True,0.00,0.00,,0.00,None,False,None,,Sales,Landscape Design,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Lawn Leaf/Vac Svc w/contract,,Lawn Leaf/Vac,False,False,False,Non,PerUnit,Lawn/leaf and debris cleanup included with full service mowing agreement,True,75.00,0.00,,0.50,None,False,None,,Sales,Lawn Leaf/Vac Service w/Contract Clean leaves and debris from lawn and mulch beds from late Fall into Winter.,,7,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Soil Correction Application,,Soil Correction,False,False,False,Non,PerUnit,Custom fertilizer correction application based on soil sample.,True,45.00,0.00,,0.50,None,False,None,,Sales,"Soil Sample Correction Application* To insure optimal health for your lawn, the soil correction application is recommended",,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Mowing Of Field,,Mowing Of,False,False,False,,PerUnit,Mowing of field,True,175.00,0.00,,0.00,None,False,None,,Sales,Mowing of Field,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
