Tag,Category,Automation  Tag,Modified,,
Mrkt Winter Prune-2020,Marketing,,1/17/2020,,
Mrkt Winter Prune-2023,Marketing,,1/3/2023,,
Mrkt Winter Prune-2024,Marketing,,2/15/2024,,
Mrkt Winter Prune-2025 Resend,Marketing,,1/31/2025,,
Mrkt Winter Prune-2026,Marketing,,1/15/2026,,
Mulch,General,,2/14/2019,,
Mulch 2024 Re-send,Marketing,,3/10/2024,,
Mulch 2025 Reminder Resend,Marketing,,3/17/2025,,
Mulch B Incl,General,,1/21/2021,,
Mulch Email Form Request 25,Marketing,,3/8/2025,,
Mulch Email Form Request 26,Marketing,,2/21/2026,,
Mulch H Incl,General,,1/21/2021,,
Mulch Per Request,General,,2/21/2026,,
Mulch Pre Auth,General,,2/21/2026,,
Need Phone Number,General,,9/18/2017,,
Needs Updated ASF Contract,General,,9/19/2020,,
No Email,General,,9/15/2017,,
Pause Svc,General,,1/22/2020,,
Portal Info Sent,Billing,,3/4/2022,,
Portal User,Billing,,5/3/2021,,
Portal User -No CrCd,Billing,,5/3/2021,,
Pre-Paid,Billing,,4/14/2022,,
Print Inv,Billing,,3/4/2022,,
Property Visit,General,,1/7/2021,,
Renew Fert Pkg Won,Billing,,2/17/2022,,
Renew Fet Pkg Sent,Billing,,2/11/2020,,
Renewal Est 22 Sent,Billing,,3/16/2022,,
Renewal Est 22 Won,Billing,,3/16/2022,,
Renewal Est 23 No Resp (Install),Billing,,2/4/2023,,
Renewal Est 23 No Resp PAYGo,Billing,,2/4/2023,,
Renewal Est 23 Sch Auto Renew,Billing,,2/4/2023,,
Renewal Est 23 Sched,Billing,,1/30/2023,,
Renewal Est 23 Sent,Billing,,1/30/2023,,
Re-send Handmulch Reminder 21,Marketing,,2/18/2021,,
Re-Send Mrkt GL Pe-Pay Disc 2025,Marketing,,1/13/2025,,
Review Final Inv,Billing,,1/30/2020,,
Roundup,General,,3/8/2019,,
Sch One Time Leaves 2023 To Do,To Do,,11/1/2023,,
Sch Waiting List PKG Contract Leaves 2023,To Do,,11/1/2023,,
Sch Waiting List PKG No Contract Leaves 2023,To Do,,11/1/2023,,
Spring Cleanup Form Response,Marketing,,11/1/2023,,
StaGreen,Billing,,12/22/2020,,
TEXTED-NEWLEAD,None,,2/16/2020,,
Unopened Email Schedule,General,,9/15/2017,,
Update Contact Info,General,,11/13/2019,,
Update GL_Pkg$,Billing,,9/12/2022,,
Update Sq Ft,General,,8/19/2022,,
Web Request,Marketing,,3/14/2024,,
Weeding,General,,3/14/2019,,
Winter Pruning,General,,1/7/2021,,
Winter Pruning Incl,General,,1/17/2020,,
Winter Pruning Job Added 2024,General,,1/10/2024,,
Winter Pruning per Request,General,,12/28/2022,,
Write Off Bal,Billing,,1/30/2020,,
