ScheduleID,ScheduleName,ScheduleType,PackageRoundID,StartDate,EndDate
cac4c98f-4813-4fb8-9d3a-08689ecd6908,Green Lawn Pkg F,Package,c83f8106-c70b-436c-a927-a81b3e0a4b08,11/14/2024,12/24/2024
cac4c98f-4813-4fb8-9d3a-08689ecd6908,Green Lawn Pkg F,Package,0ced2031-d104-4f85-aae8-e7b95657a377,2/14/2025,4/2/2025
cac4c98f-4813-4fb8-9d3a-08689ecd6908,Green Lawn Pkg F,Package,1632d95b-6a62-4e39-82e0-89543f737019,4/4/2025,5/21/2025
cac4c98f-4813-4fb8-9d3a-08689ecd6908,Green Lawn Pkg F,Package,c21f34df-b90d-4f16-ad23-7ceac9d9e995,5/23/2025,7/9/2025
cac4c98f-4813-4fb8-9d3a-08689ecd6908,Green Lawn Pkg F,Package,f9feb39f-2417-47c3-9314-403f73b5578b,7/11/2025,8/27/2025
cac4c98f-4813-4fb8-9d3a-08689ecd6908,Green Lawn Pkg F,Package,dca61f6d-aec7-4aaf-8f61-0aebd600b785,8/29/2025,10/17/2025
cac4c98f-4813-4fb8-9d3a-08689ecd6908,Green Lawn Pkg F,Package,825f9c34-d131-46a6-9730-0064c38e2829,10/10/2025,11/12/2025
cac4c98f-4813-4fb8-9d3a-08689ecd6908,Green Lawn Pkg F,Package,865065cc-66e4-4fcb-ab39-d710a42b593e,11/14/2025,1/31/2026
cac4c98f-4813-4fb8-9d3a-08689ecd6908,Green Lawn Pkg F,Package,7a822edc-021f-42aa-9d67-f712e5f75cb8,2/14/2026,4/2/2026
cac4c98f-4813-4fb8-9d3a-08689ecd6908,Green Lawn Pkg F,Package,bc21b78f-1c0a-402c-afac-db0ac272e716,4/4/2026,5/21/2026
cac4c98f-4813-4fb8-9d3a-08689ecd6908,Green Lawn Pkg F,Package,eadc0b29-fb51-4901-ae84-96179f232a4c,5/23/2026,7/9/2026
cac4c98f-4813-4fb8-9d3a-08689ecd6908,Green Lawn Pkg F,Package,e78baa69-70db-4dde-a79a-54c2b5fd3b52,7/11/2026,8/27/2026
cac4c98f-4813-4fb8-9d3a-08689ecd6908,Green Lawn Pkg F,Package,35cfd73c-aaa4-4e51-adc9-a422da9377bf,8/29/2026,10/17/2026
cac4c98f-4813-4fb8-9d3a-08689ecd6908,Green Lawn Pkg F,Package,383f7f65-a78f-4c06-b7aa-21acc7982023,10/10/2026,11/12/2026
cac4c98f-4813-4fb8-9d3a-08689ecd6908,Green Lawn Pkg F,Package,a5fec720-0460-48aa-b6fd-7547da5920aa,11/14/2026,1/31/2027
41336dd0-ab1d-4db9-9741-0f2815fb74ab,Lorraine Alexander Custom,Recurring,,,
60513209-505e-4845-8b50-30f2015cb4ce,Mulch Included- Blower,Package,bbb518b3-580b-4cc3-8acc-55d460d58acc,1/3/2021,5/24/2021
60513209-505e-4845-8b50-30f2015cb4ce,Mulch Included- Blower,Package,5d9e0c32-532c-4279-9553-f0b4338bdea6,1/3/2021,5/24/2021
60513209-505e-4845-8b50-30f2015cb4ce,Mulch Included- Blower,Package,b16aa8f4-fdbd-4e39-be58-45a738a3d50f,1/3/2022,5/24/2022
60513209-505e-4845-8b50-30f2015cb4ce,Mulch Included- Blower,Package,4ad802fb-b95b-4089-ab24-30fd1ab6b0b7,1/3/2022,5/24/2022
60513209-505e-4845-8b50-30f2015cb4ce,Mulch Included- Blower,Package,80bfdb27-a521-433f-9211-42183784cddc,1/3/2023,5/24/2023
60513209-505e-4845-8b50-30f2015cb4ce,Mulch Included- Blower,Package,2bf4b4d1-8c3c-4d98-9b2a-ada20317c458,1/3/2023,5/24/2023
60513209-505e-4845-8b50-30f2015cb4ce,Mulch Included- Blower,Package,240dd08f-9942-4ae3-86cd-eae33b46648e,1/3/2023,5/24/2023
60513209-505e-4845-8b50-30f2015cb4ce,Mulch Included- Blower,Package,75078141-aeb4-41e8-ae6a-1218f33b1f52,1/3/2024,5/24/2024
60513209-505e-4845-8b50-30f2015cb4ce,Mulch Included- Blower,Package,613b78c1-2f99-4ef3-8fdc-ce9c1e2668c7,1/3/2024,5/24/2024
60513209-505e-4845-8b50-30f2015cb4ce,Mulch Included- Blower,Package,b1361f86-cd10-4389-bac4-e86df8f368cf,1/3/2024,5/24/2024
60513209-505e-4845-8b50-30f2015cb4ce,Mulch Included- Blower,Package,057fb2d0-0aac-49e3-8b7c-0b6dca7698ed,1/3/2025,5/24/2025
60513209-505e-4845-8b50-30f2015cb4ce,Mulch Included- Blower,Package,ded9e8c7-0dbe-438a-a2f2-6da9c0485459,1/3/2025,5/24/2025
60513209-505e-4845-8b50-30f2015cb4ce,Mulch Included- Blower,Package,313f8008-c0de-4916-ab85-8f9834e77513,1/3/2025,5/24/2025
60513209-505e-4845-8b50-30f2015cb4ce,Mulch Included- Blower,Package,a1c242e4-527a-4536-8b5a-985ad5ce61bd,1/3/2026,5/24/2026
60513209-505e-4845-8b50-30f2015cb4ce,Mulch Included- Blower,Package,be6c1684-1a0a-440b-8212-00ea9aff8906,1/3/2026,5/24/2026
